isim,slug,kurulus,tur,il,bolge,website,eposta,telefon,fax,adres,rektor,profesor,docent,doktor,ogretim,arastirma,onlisanserkek,onlisanskadin,onlisanstoplam,lisanserkek,lisanskadin,lisanstoplam,yukseklisanserkek,yukseklisanskadin,yukseklisanstoplam,doktoraerkek,doktorakadin,doktoratoplam,toplamerkek,toplamkadin,toplam
ABDULLAH GÜL ÜNİVERSİTESİ,abdullah-gul-universitesi,21.07.2010,DEVLET,KAYSERİ,İÇ ANADOLU,http://www.agu.edu.tr/rektorluk-ofisi,ozelkalem@agu.edu.tr,3522248800,0352 338 88 28,Barbaros Mahallesi Sümer Kampüsü Kocasinan-KAYSERİ,CENGİZ YILMAZ,14.0,17.0,65.0,82.0,101.0,0.0,0.0,0.0,1432.0,1238.0,2670.0,79.0,53.0,132.0,47.0,56.0,103.0,1558.0,1347.0,2905.0
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,acibadem-mehmet-ali-aydinlar-universitesi,18.05.2007,VAKIF,İSTANBUL,MARMARA,http://www.acibadem.edu.tr,info@acibadem.edu.tr,2165004444,2165775048,İçerenköy Mah. Kayışdağı Cad. No:32 İçerenköy 34752 Ataşehir İstanbul,AHMET ŞAHİN,156.0,76.0,114.0,80.0,115.0,549.0,1333.0,1882.0,756.0,2086.0,2842.0,51.0,197.0,248.0,32.0,130.0,162.0,1388.0,3746.0,5134.0
ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,adana-alparslan-turkes-bilim-ve-teknoloji-universitesi,14.04.2011,DEVLET,ADANA,AKDENİZ,http://www.atu.edu.tr,rektorluk@atu.edu.tr,3224550001,3224550002,"Balcalı Mahallesi, Çatalan Caddesi No:201/1 01250 Sarıçam/ADANA",MEHMET TÜMAY,21.0,49.0,102.0,75.0,159.0,0.0,0.0,0.0,1881.0,1295.0,3176.0,516.0,383.0,899.0,65.0,52.0,117.0,2462.0,1730.0,4192.0
ADIYAMAN ÜNİVERSİTESİ,adiyaman-universitesi,17.03.2006,DEVLET,ADIYAMAN,GÜNEYDOĞU ANADOLU,http://www.adiyaman.edu.tr/,bidb@adiyaman.edu.tr,4162233840,0416 223 38 43,"Adıyaman Üniversitesi, Altınşehir Mh. 3005 Sokak No:13 02040   ADIYAMAN",MEHMET TURGUT,82.0,134.0,247.0,190.0,292.0,5254.0,2812.0,8066.0,4822.0,5375.0,10197.0,197.0,194.0,391.0,36.0,25.0,61.0,10309.0,8406.0,18715.0
AFYON KOCATEPE ÜNİVERSİTESİ,afyon-kocatepe-universitesi,11.07.1992,DEVLET,AFYONKARAHİSAR,EGE,http://www.aku.edu.tr,ozkalem@aku.edu.tr,2724440303,0272 2281401,Afyon Kocatepe Üniversitesi Rektörlüğü\nANS Kampusü Gazlıgöl Yolu Üzeri\n,MEHMET KARAKAŞ,165.0,113.0,253.0,310.0,206.0,5924.0,3610.0,9534.0,8828.0,8630.0,17458.0,1361.0,1172.0,2533.0,283.0,184.0,467.0,16396.0,13596.0,29992.0
AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,afyonkarahisar-saglik-bilimleri-universitesi,18.05.2018,DEVLET,AFYONKARAHİSAR,EGE,www.afsu.edu.tr,afsu@afsu.edu.tr,2722463335,2722281429,Zafer Sağlık Külliyesi\nDörtyol Mah. 2078.Sok No:3\nAFYONKARAHİSAR,NURULLAH OKUMUŞ,43.0,49.0,158.0,88.0,234.0,701.0,1939.0,2640.0,1390.0,2645.0,4035.0,6.0,34.0,40.0,15.0,6.0,21.0,2112.0,4624.0,6736.0
AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ,agri-ibrahim-cecen-universitesi,29.05.2007,DEVLET,AĞRI,DOĞU ANADOLU,http://www.agri.edu.tr,gensek@agri.edu.tr,4722162008,4722151182,Erzurum yolu  4 km 04100 Merkez / AĞRI,ABDULHALİK KARABULUT,35.0,70.0,167.0,142.0,109.0,2322.0,2011.0,4333.0,3867.0,4423.0,8290.0,460.0,351.0,811.0,23.0,13.0,36.0,6672.0,6798.0,13470.0
AKDENİZ ÜNİVERSİTESİ,akdeniz-universitesi,20.07.1982,DEVLET,ANTALYA,AKDENİZ,http://www.akdeniz.edu.tr,info@akdeniz.edu.tr,2422274400,2422274958,Akdeniz Üniversitesi Kampüs Antalya,ÖZLENEN ÖZKAN,540.0,314.0,491.0,674.0,810.0,13541.0,7972.0,21513.0,20494.0,16895.0,37389.0,1798.0,2095.0,3893.0,737.0,803.0,1540.0,36570.0,27765.0,64335.0
AKSARAY ÜNİVERSİTESİ,aksaray-universitesi,17.03.2006,DEVLET,AKSARAY,İÇ ANADOLU,www.aksaray.edu.tr,gensek@aksaray.edu.tr,03822883026-,3822883026,Bahçesaray Mah.68100 AKSARAY,YUSUF ŞAHİN,119.0,146.0,239.0,198.0,190.0,2343.0,1812.0,4155.0,6140.0,6547.0,12687.0,1285.0,912.0,2197.0,99.0,86.0,185.0,9867.0,9357.0,19224.0
ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,alanya-alaaddin-keykubat-universitesi,23.04.2015,DEVLET,ANTALYA,AKDENİZ,http://www.alanya.edu.tr/,alku@alanya.edu.tr,2425106060,2425106019,Kestel Mahallesi Üniversite Caddesi No:80 Alanya/ANTALYA,EKREM KALAN,52.0,68.0,171.0,164.0,122.0,3228.0,2001.0,5229.0,4781.0,3636.0,8417.0,196.0,222.0,418.0,35.0,36.0,71.0,8240.0,5895.0,14135.0
